comment,label
"İlhamın oğlu başda olmaqla bütün boynu yogun nazirlərində ogulları getsin ön cəbhəyə, bütün Azərbaycan xalqı gedər müharibəyə! Yoxsa kasıbların uşaqları gedib qırılacaqlar nazir balalarıda kayf edəcəklər. Elə şey yoxdu! Azərbaycanın sərvətlərindən necə istifadə edirlərsə elədə getsinlər qorusunlar Azərbaycanı! Birdə onu da deyim ki, Azərbaycan ikinci Suriya olacaq!",0
Bu sesle onlar qacmirlar yerin altina dolurlar,0
"Ozge atina minen tez duwer, Allah kokunuzu kessin.",0
Yaziqqq   kasblarin  balasi   Kaşki  sülflə     həl   olnardi   Hardadirrr   məmurlarinnn  övladlari   Hardadi  qacqinlar  evvv  davasi   edlər  gedin  Alda   qara  baği   10  evləri  var  burda  qarabağlilarin  mən  şəhid  ayləsiyəm  kirayə  qaliram  qacqin  evdə   3  gün  gecikdirmşəm  diyə  evdən  cxardlarr   bu du   ədalət  eee  Calşin  şəhiddd   olmayin   Allaha   bütünnn  cavanlarmizi   qorsunnn,0
MƏMURUN BALALARİ ÇIBINDƏ PULLAR  ƏN BAHALİ MAŞİNLAR SÜRƏNLƏR GÜNDƏ KEFDƏ DAMAQDA OLANLAR ƏN GÖZƏL YEMƏKLƏR YEYƏNLƏR GƏLIB SƏRHƏDDƏ CIYNINDƏ SILAH YUXUSUS HƏR DƏQIQƏ ÖLÜM QORXUSU ILƏ KASİBIA BIR YERDƏ VURUŞARMİ MÜMKÜN DEYIL ADİ YAZİLAR  ÖZÜ OLMAZ  O DA GÖZDƏN PƏRDƏ ASMAQ ÜCÜN.,0
bizim gələcək nəslə savad lazımdır.nazir yox.bəsdirin bizim haqqımızı qohum tanışa yerlilərinizə  yedizdirdiz,0
ÇOX TƏSSÜF EDİRƏM KI O SÖZÜ DEYƏ BILMƏYƏÇƏYIK.YAZIĞ KASIBIN BALALARI. DƏRD CƏKƏNDƏ ONLAR VƏTƏN UĞRUNDA ÖLƏNDƏ ONLAR,0
"qadasi ,  coxu yeyib taladi getdi----- bax gör yerde ne qalib ))?",0
indiki dövürdı azərbaycanda musiqi sənəti ölüb,0
sözmün məntiqini başa düşmədinsə nə deyim,0
Anna akopyan menimdi kəlirəm o faişə mənikdi,0
"Veten kasıbın vetenidi. Torpaqdan cixan Neft memurların . Haram xoşdarı olsun eziyetle kirelerde ,uşaq pulsuz evlad böyütmüsük .",0
tehsilimizi bu güne salanların ele görüm tehsilimizin gününe qalsın ☺,0
Ya Rəbbim o kafirləri kahr elə  Amin,0
Çünki məmur balasınin kişilik yoxdu qanında,0
Qeyrətsizlər evində tuman altina girəcək,0
Qaçın şərəfsizlər Gəlirik AZƏRBAYCAN TÜRKİYƏ,0
"Nəin ki, atəşkəsi pozmaq, erməni öldürənin aqibəti acınacaqlı olur.
Youtube də var.
Bir ana fəryad edir ki, oğlum erməni öldürüb deyə onu həpsxanada kişilikdən salmızınız.
Bax budur Azərbaycanın igid əsgərinin aqibəti.",0
Allah butun ermenilere lenet elesin.Allah her zaman en agir belalari ermenilerin ustunden eskik elemesin,0
utamilarda ermeni ne zibildiki 30 ildi ele bos bos danisir hindi baxin bu sopetde 4 gun cekecek sora here oz isinde fisyo hec ele bil bele sopet olmamisdi bizimki ancaq bos bos xox elemeydi bizimki ancaq dunyaya baxrirki bax ermeni Qarabaqda oturub bize gule atir ermenide hec qoz qoymur,0
Icaze verseler anasinida agladarlar hele atasinida Ammmmaaaa amasi var sizi yaxin buraxan varki agladasan ay qardaw,0
😂😂 vallahi duz dedin kul başlarlna bunlarınkı yutubda say çoxaldb pul qazanmagde bunlarln çoxdaa veten vecine,0
Ele bil biz oturmuşuq onların torpağında qorxuruq sesimizi çıxartmağa hayıf kasıbın balalarından hayıf atasız qalan körpelerden hayıf ogulsuz qalan valdenlerden hayıf yarsiz qalan gelinlerden hayıf qardassiz qalan bacılardan bir iki ay danışacaqlar sonra yaddan çıxacaq amma onlar ölene qədər köz düşən yerin yangisiyla alışacaqlar Allah rehmet etsin sehidlerimize,0
"İlhamyan,Necmeddinyan uşaqlarımızı qırğına göndereçek",0
he elbette niye yox Anasinida agladirlar sadece bizim gözəl kanallarımız nese ürəy eləmir deyesen desin biz pozduq,0
Dalni dagdarix ermenilerin teki baslasin muharibe. Rus indiki azerbaycanda qarsi desdeklese ermenini ozude  ziyan gorecek,0
"SSSR i dagidan Azerbaycan, Russiyani parag etmezmi? Eder, hemde nece",0
"azeri olmaq türk olmamaqdı ?! qüruru , mənliyi olmayan ,tarixini bilməyən soysuzlar !!!!!!!!!!!!!!!!!!!!!!!",0
Allah Rusiyanı darmadağın eləsin,0
Ehh əvəzini çıxdılar pulanın görək bizimkilər neçə erməni öldürəcəklər.,0
ne sulhde bu sozu esidende ujey butun nervim qalxir besdi bu sozu birde isletmeyin ermeni bosuna alib o torpaqiki bir gun sulh yola qaytarsin bu bos sozderi yixisdirin bunun bice heli var oda muharbe basqa yolu yoxdu qorxmuram cekimirem bir canim var onuda vermeye haziram guluncdu ujey canim ucun ermeni bize deyirki siz qorxaqsiz qorxaq olmasaydiz hindiye kimi torpaqinizi alardiz,0
Bezdik ALLAHım,0
CANNN BORCUN VAR?NENESİ ÖLSUN BEIE REJİMİN,0
"Elə borcu olanları, imkanı olmayanları, sürünə sürünə yaşayanları aparırlarda .Eşitmisənmi ki, bir deputatın, bir nazirin, bir məktəb direktorunun, bir bagça müdürünün bir sözlə imkanı olub at oynadanların hansınınsa evladı  Şəhid olub? ??",0
Həə  Şərəfli   Ölmdə  kasblara  qismətdi  da  hec  dəyərdə  verən  yoxdu,0
Baxır nəqədərdi borcun))əgər 1200 qədərdisə aparıllar.yox coxdusa aparmıllar😁😁😁,0
😂😂😂😂gede gettt borcun zadın silinsin,0
Borclarıvı   təmizlə  heç  yana  getmə   otur  evində  eşiyində,0
siz  nə  bilirsiniz  mən  kişiyəm  həə  Mən  8  yaşindan   Atasiz  qalmşam  eee  bildin  Nə zülmlə   böymşəm  bütün  xəyalarm  Məff   olub  Şəhdə   hörməttt   qoyan  var  həəə  varr,0
Var ol qardaşım ya ölək ya qalaq  başqa yolu yoxdur bunun,0
Allah bəlasını versin 😔,0
Deyirem rusun Allah belasln versin bunlarln hamsl onlarln isodi yoxsa ermeni kimdi ki bizr hucum ede,0
Duzdu tesufiki😔,0
bilirsiniz niyə həmişə kasıbın balası şəhid olur?,0
Səninkimi qorxaqlari hec yerə aparmayacaqlar,0
Əllerin dərd görməsin,0
SSRİni Amerikanın rus agenti dagıtdı.,0
Terroristlər!,0
Bele qorxarsiniz murdarlar,0
Bele qorxarsiniz murdarlar,0
deyecekler ermenisdanin yarsini qirdilar deyilerki ujey ermeni xeyli sayda itki verib geri cekildi bizde ancaq naxilardi,0
Bıy  sışdız?🤣🤣,0
İn se Allah men hazir Allahin komeyliyi ile olmeye yox oldurmeye gedeceyik,0
Heç olmasa başlığa belə yalan şəkil qoymuyun bəsdirin,0
Vachu terorist mamu yibal azerbarani,0
siz hec bilirsiniz nə danişirsiniz ?,0
bəsdidə biz azəri deyilik heç olmasa azərbaycanli deyin,0
Allahim kafir milletler uzerinde qelebe calmaqi bizlere nesib eyle onlari bizim ellerimizle jezelandir Amin.,0
Allah komek olsun əsgərlərimizə şəhidimizin yeri cənnət olsun.Allahim sən niyə götürürsən bu günahsız axan qanları. lənətə gətir bu kökü kəsilmişləri nə qədər canımızdan can aldılar yazıq şəhid anaları dünyaya bir dəfə gəlsələrdə  iki dəfə ölümə məhkum oldular balası ölən ana balasından qabaq ölür sənə siğinmişiq allahım erməniləri də onlara havadarlıq edənləri də öz başlarını öz dərtlərinə qat azəri anaları adından deyirəm  elə dözülməz dərtlər ver ki onlara Azəri xalqı onların yadına belə düşməsin Amin Allah,0
Nəcməddin qırğın etdirəcək .Təcili ölkədən qovulmalıdır .,0
Allaha and olsun ki bu memurlar bizi elle sallblar şəhid olan kimi seferbeylik deyiler 3 gun sora sakitlik olur ya birdefelik olek yayawluak  nedi fikirleri,0
onlar o rutbəyə layiq olsaydı allah elə edərdi olar pul gücünə kişidilər ataya daydaya sığışan kişidilər yəni dırnağ arası,0
Haram yiyən şəhidlik məqamına yüksələ bilməz,0
Amin. İçimizdəki xainlər qarışmasa in şə Allah ✊ burunlarını yerə sürtəcik.,0
"küstürdüm yox, qəlbini kırdım.",0
çünki zalımlara qalıb bu dünya,0
"Mənasız sualdı.Şəhidlər şəhidliyinin qarşılığında heçnə istəmir.
Varlıda heç vaxt özünü fədaetmək istəmir.Hər varlı yox təbiiki.",0
Ne olur kasiba olur.,0
Yene biz wehid vereciyik cunki icimizdeki ermenler qoymayacaq bizim ordu qabaga getsin,0
bir milleti mehv etmek isteyirsense onun tehsilini mehv et,0
"Vallah deyirəm yaxşısızda camaat olmazın zülmü ilə evlad böyüdür gündə gün aşırı birini öldürür dığalar bizdə şəhid deyib özümüzə təsəlli tapırıq, nə toy görürlər nə ailə qururlar nə evlad həyata gətirirlər bizdə hamımız vətən sağ olsun, nədənsə bu yüksək zirvəyə çoxlarımız tələsmirik, yaxşıdı əziyyətin camaat çəksin bəhrəsini məmur yesin.....",0
Sizde memur olardiz oglunuz sehid olmazdi indi memur derdi cekmek vaxti deyil dua etmek vaxtidir,0
Əsgər  gedin  ölməyə  yox  ödürmək  üçün   gedin,0
Elə qırın camaatın min bir əziyyətlə böyütdüyü uşaqları.deputatin nazirin oglullari nə vaxt bizimlə çiyin çiyinə kamisarrigin qarşısında duracaq və onda mən hazır,0
komekciden nazir olar dehset,0
"Ay biqeyret ""tv"" bunun sene hec bir dexli yoxdu",0
sox yerve matisga neslindk,0
"Qandan doymayan işğalçı dövlət və onun cinayətkar hərbçiləri, əsgərləri elə anındaca öz qanlarında boğuldu",0
uşaqlar da hevesden düşüb deyir oxuyub neyniyecem iş var,0
"Belə dağıdıcıların Azərbaycan xalqında ruh düşkünlüyü yaratmaq, mübarizə əzmini qırmaq, ordumuzun şücaətinə ləkə yaxmaq üçün müəyyən sosial şəbəkələrdə saxta səs yazıları yayan mkrtıçyanlardan heç bir fərqi yoxdur! .",0
gör indi camaatın başına nə oyun açacaq,0
beş aydi başlayir az yalan danışın de.,0
kurikulum leğv edilsin,0
O memur balasidi ona göre,0
Nəcməddin və onun satqın şəbəkəsi həps olunmasa bu millət məhvolajax,0
dünya pul rüşvət üstündə qurulub necə yığışdırsın o kimdi ki,0
müəlliməsüz belə başa düşürəm  onu deyim ki yaxşı heç nəyə ümüd eləməyin,0
ele olacaqda yaziq gunumuze,0
tehsil oyuncaq olub lap,0
can milletim hamı borclu neftin içinde bunların nesline lenet,0
"Qoca; Qardaş bu yalançı informasiya lari az yayın.Muharibə olan deyil.Nə qədər ki,ordumuzda satqın zabitlərimiz var.Kohnə videolarla az aldadin bu milləti.Piyar qazanmağ üçün.Nə qədər ki,bu saxta hakimiyyət var,müharibədən əlinizi üzün.Yalan informasiyalar yayıb analarımızı ağlatmayag qardaşlarım.Bəsdirin ayıbdı.Mənlik bu qədər.",0
"Allah sizin de caninizi saglam etsin .Ay millet ne olur, bizim sirrimizi ermeniye ÖTŸRMEYIN, bi az da siz ac qalin , müharibe olanda deyersiniz",0
"Artıq hər kəs bilir ki, O, həqiqətəndə ətrafındakı insanlara kölə münasibəti göstərir. O hər kəsi öz maraqlarınagörə qurban verən biridir.",0
Niyə istefa vermir və bu insanla müharibəyə getmək  xəyanətlə vətəni müdafiə etmək olar. Bunun əməlinin hər biri tarixə yazilir,0
@Nagorno-Karabakh News sox icive,0
"Əziz oğullarımız siz ölməyəcək öldürəcəksiniz inşaallah! O alçaqları nəinki Qarabağ hətta İrəvandan da qoyacaqsınız,əminik. Allaha əmanət olun!!!",0
Mememurarida yigin aparinda,0
gorey bu ne hoqqadan cixir indi,0
Bunların kökünü kəsmək lazımdır,0
Olun qirilin qacmaga sican deliyi axtarin yox olasiz sizi.,0
Men hec muharbe isdemirem nede sulh torpaq usde qardaşlarmiz canin verir anada göz yaşlı niye kasib ölmeli deyil cunki menim qardaşım şehid di olub bilrem nedi aci😔,0
Aye yigiwin qacin AzeriTurku gelir,1
"Bosh söhbətdir,hecbir müharibə zad olmayacag!!....",0
"ne iw gorurki hele bir komekcisi de var??dovletcun,xalqcun nese elemir,ev temizlemir paltar yumur cuwqa kimi geyinib gezir.",0
Allah insandan asılı olmayarağ insan cildində şeytanlara lənət eləsin amin deyen dilləriniz var olsun,0
esas oduki yaponiyadan gelen kurikulumlari yigiwdirilsin. ele kurikulumlar gelirki hec dexlisi yoxdi bizim olkeye. dexlisiz kurikulumlar veriller. yaponnardaki sistemi bura tetbiq elemey isdiyiller odaki alinasi iw deyil. men bu sozderi qiw ayinda qar yagmadigina gore demirem. menim dosdum burda oxuyub  ve rusiyada indi oxuyur ve onunla bele weyleri biz goruruk. neyseye daniwsam eseblewecem. bir haldaki tehsil naziri vergiler naziri olur day bu sisteme ne ad veresen😠😠,0
Ermeniler hele bu heycan signalin Ervandada verecekler,1
dersler çox çetindi,0
"Bu üzdən də, müharibə çağırışlarına qoşulan, vətənpərvərlik tədbirlərində və mövzularında aktivlik göstərən Azərbaycan gəncliyini parçalamaq, onları ruhdan salmaq düşmən kəşfiyyat orqanlarının qarşısında başlıca vəzifə kimi qoyulur.",0
guya ders geçirler ki  mektebde indi hami hazirliga qoyur meni kimi kasiblarda durub baxir,0
qoydular yene cixartdilar,0
cehennem olum gedin,0
kaş kurikulumu yığışdırardı,0
muellimeler ozderine hormeti seckide gosterdiler....,0
bu  güya xalqı talamıyıb nə edəcək ki  biz avam xalq elə inana inana gedirik     bunları təyin eləyən saxta rejim onları seçir və birinci tapşırıqları bunlara xalqı talayıb məhv etmək göstərişi  olur,0
Redd olun torpaqlarimizdan galirik az qalib in wa Allah,0
təhsil hakda video trende 36 yerdədi 1ci yerde hansıdi bes eh bu azərbaycan hara gedir,0
"Qoy salsinlar,ozlari orda gomulacak.",0
Hər dəfə şəhid gələndə kişiləşilər amma çəmi bir həfdə milətin başln 30 ildi qatllar kl müharbə edirik hələ lopa blg zakir az ylglb qoy hələ ylgsln,0
"Dünyanı lərzəyə salan Terk ordusu özü Azərbaycana gəlir, bunlar Rusun qorxusundan oyun qururlar. Səfərbərlik edib milləti qırğına verməklə iş olmur ey",0
Besdirin baalayln artlq bu mugaribeni,0
Deyrəm utanmag xəcalət cəkmək yoxduda bu dovləti idarə edənlərdə aye petlə başlar milləti acnan qırırsız hində səfərbəlik deyrsiz bir balaca xəcalət cəkin,0
həbs edilməlidir ay prezident ondan qorxursan yoxsa əlbirsiz casusu niyə genştabda saxlayırsan???,0
"Ermənistan-Azərbaycan münaqişəsinin indiyə qədər həll olunmamasında başlıca səbəb Ermənistanda hakimiyyətdə olan şəxslərin riyakarlığı, yalançı olmalarıdır",0
"Onlar xidmət edirsə, bəs kimlər kef çeksin?",0
təhsil qalacaq 1 tərəfə başı qapazlı müəllimdən yapışacaq,0
"nəyə başlayır)))) Məmur və nazir üşaqları da muharibəyə gedecəklərmi ?! 
Gedəcəklər vay",0
Onlar xaricdə otellərnən davadadi hansında qalıb kef eliyim deyə onlara Qarabagmi lazimdi,0
ay qardaş məmurlar qorx ki bizdən pul isdiyər alçaxdılar onlar,0
Qardaşım yığsan məmur balalari 1 boluk etmez.yaxsisi budu hemin memurlar muharibeye geden imkansiz ailelere maddi yardim etsinler lazim deyil ozumuzde ohdesinden gelerik,0
bu coxdan beledi bax hindi goresen 4 gunen sora fisyo qutaracaq bu sopetde sakitciliq cokecek hec ele bil bele sopet olmayib bir xeyli vaxd sakitciliq gedecek sora erneni yene hucuma kececek biz sehid vereceyik sora yene basdayacaqlar fisyo ermenini qiracayiq sozde ha sora yene sakitciliq cokecek 30 ildi ele bele gelir belede gedecek,0
niyə boş boş danışırdıq,0
Yalan sa  Allah bizim.bu hökumətimizə nəhlət eyləsinki bu analari gözu yaşli qoyur,0
"Internitdi de milletin evini yixan, millet bawa duwmurki neqeder o Eliyevler o Pawayevler hakimiyettedise biz ne Qarabah ne bawka rayonlari qormuyeceyik",0
Torpaqlarımız uğrunda ölməyə yox öldürməyə gedin igidlər.,0
"Allahın lenetine gelmiş Putin       Allahın yuceliyile necaki Firovun bir xırda  milçekle heyatı sonlandı, senin taleyin eyni bele olsun☝🏻🤲🏻",0
Çox pis vəziyyətdir,0
Görəsən məmurlarin da uşaqlari gedəcək döyuşə yoxsa yenə biz kasiblar üçündür!,0
Heçnə edən deyil bu Azərbaycan boş şeydi edən olsaydılar torpaqlarımız necə illər ermənilərdə qalmazdı . İndidə hələ olardadi belə getsə elə olarda da qalacaq yalan an opbbanib düşməyin yeri yoxdu,0
Muharibədən istifadə edib pul qazananlarin ömrü ALLAH qara eləsin,0
Men qizam mende olan qeyret belke sende yoxdi,0
bele de ki Menim qardasim orda vurusur sen bos bos danisma,0
"Məmur oğlu heç bir vaxt, heç bir xalqda, heç bir dövlətdə vətən üçün döyüşməyib. Məmur oğlu döyüşə getsin mən də gedim deyənlər fəraridirlər və bu əməllərinə don geydirənlərdir. Əslində bu sözləri ilə düşmənə xidmət edirlər",0
Onsuzda oleceyik hamimiz fexr etmek lazimdi veten ugrunda olmek sherefdi o memur ogluna gismet olmur.,0
Memur balasi getmirse veten sag olmasin? Eyer ugrunda olen varsa vetendir! Biri Allaha inanmirsa sende inanmirsan? Memur oglu getmirse gorumayag cetenimizi?,0
Hee biz onu hec vaxt ewitmeyeciyik. Biz ewidecitikki memur balasi avariyaya duwub qudurganliginnan .. vetene xidmet etmiyen mence i torpaglarda gezmeyede haqqi yoxdu!!!!!,0
ITI GOVAN KIMI GOVURUQ,0
"yenə nazir dəyişdi təhsili oyuncağa çeviriblər.yenə naxçıvanlı. bu resublikada ayrı şəhərdən, rayondan savadlı şəxs azdı? bəsdirində savadsız eşalonu vəzifə sahibi etdiniz.",0
Sən necə qorxaq insansan kişi də qorxar heç ? Hansı sülhdən danışırsan gündə bir şəhid veririk ?sən düşmənlə sülh bağlamaq fikirindəsən ? Bəs Xocalıda öldürülən körpələrin qocaların qadınların qatillərilə sülh içində necə yaşayacaqsan ? Buna vicdanın əl verir heç ?,0
"sözügedən fəaliyyətinə etiraz əlaməti olaraq istefa verən onlarla insan AXCP sədrini ifşa edərək, onun əsl sifətini siyasi-ictimai rəyin diqqətinə çatdırıblar",0
ovçu təhsil naziri oldu öz töhfələrini təhsilimizin gözünü kor edərək getdi vergilər naziri buda kar qoyub gedər kəmaləddinin yerinə..,0
bundan hech xoshum gelmedi.teki bu olmasin.bu lap beterdir.,0
"Tovuzda atişma davam edir. Daha bir hərbçimiz yaralanıb, sağ çiyin nahiyəsindən qəlpə yarasi alib...",0
"Lap istəyirsən bütün millət əyağa qalxsın müharibə olan deyil, hamsı boş şeydir.",0
prezidentin bununla bagli sərəncamı yoxdur. yalan xəbər paylashirsiz! !!!,0
"Yenə qırılan kasıb balaları olacaq,İlhamın zibilinə bu boyda xalq düşüb.",0
yenə prezident adamlarını qoyublar. onlar nə calaçaq bu da oynayaçaq. rüşvətdə öz yerində.,0
"Salam Azerbaycan xalqi, Rabbim ozu komek olsun esgerlerimize Insallah. Qarabagi o vaxti satdilar,indide milletin basini belaya salirlar bu da bir oyundu,",0
bir muddet sora bu da donup kasuna bilmicek,0
"mən sizlə raziyam. Sizə ünvanlamamişdim rəyi. Asiman bəyə yazmişdim ki bu vətən hər kəsindi, təpəqədən asili olmayarağ, və varlida kasibla çiyin çiynə döyüşə getməlidirr.",1
"Nazirlərin, deputatların, icra hakimiyyət başçısılarının balaları da getməlidi. Vətən tək kasıbın sadə insanların deyil.",1
Ay bawiniza donum bizimkinin ixtiyari varki atewkesi pozsun????,1
kardeşi̇m bi̇zde türk mi̇lleti̇yi̇k. azerbaycan oğuzlardandir,1
Kredit borcu olanları aparırlar?,1
bir qelbi sindirmaq kebeni yixmaqdan daha pisdi...,1
Menim atamda gedir esgerliye anam da hekim oldugu ucun onuda apara bilerler ne ede bileceyimi bilmirem Tek her seyi Allahim biler,1
azeri yox azerbaycan türkü,1
Onu erməni yazir dəə ermənidə deyirki Azərbaycan pizub,1
azərbaycan türkleri senin kökündür.ona göre sevirsen.geçmişde türkler bazıları qafqazda qaldı.bəziləri anadoluya getdiler.min yillar önce.,1
Bu iller erzinde prizident usaqlara usaq pulu verseydi. Rusiya kimi.Onda lap cox olardiq yene pis deyil insallah qalib gelerik,1
Qardaşım əstafrıllah olar Allahdan yuxarıda oturublar əzrayılnan müqavilələri də var,1
Oyun gedir saxta müxaribə,1
Seher mende gedirem,1
"ƏZİZLƏRİM, SİZİ BAŞA DÜŞÜRƏM HEÇ KİMİN ÖLMƏSİNİ VƏ ƏLİL OLMASINI İSTƏMİRSİZ AMMA BU MÜHARİBƏDİR! ÇOX TƏƏSSÜF Kİ, MÜHARİBƏDƏ NƏ HAMI SAĞ NƏ DƏ SAĞLAM QALMIR. BU MÜHARİBƏNİN QANUNUDUR! KİMƏ ALLAH NƏYİ YAZIB O DA OLACAQ! TƏKİ MÜHARİBƏ BİZİM QƏLƏBƏMİZLƏ BİTSİN İNŞALLAH. TƏKİ VƏTƏN SAĞ OLSUN! AMİN!",1
Her evde bir oqul var bir esker var. Müharibə şeraitinde yaşıyan xalqın evinde üc dört oqlu olmalı idi.,1
Ya Allah daha ne olursa olsun bitsin bu sohbet.Allah qorusun esgerlerimizi amin,1
hə elədilər,1
bəli tamamilə düzdü on yeddi yaşım var bu mahnılarla ruhumu dincəldirəm,1
İnşAllah ya Qarabağ ya ölüm Başqa yolu yox,1
Vaxtı ilə AXCP-dən ayrılanlar elə bu məsələlərə etiraz olaraq partiyadan istefa veriblər.,1
Onda en birinci biz gedeciyik,1
"Onu bizler teleb etmeliyik ki,veten ücun ayri seckilik salmamalidirlar",1
yox olar oduyub qutaranan sora aparacaqlar,1
kaş azəri deməzdiz bizə biz türkük,1
on doqquz yaşım var və belə mahnılara qulaq asıram.,1
Mənsub olduğu xalqın mənəvi dəyərlərindən imtina edib mənbəyi və mənşəyi bilinməyən dəyərlərə söykənərək yaşayan adamların özləri də elə həmin qüvvələrin əsas hədəflərindən olurlar.,1
"düzdü , məncə də",1
"Biz bu gün atdığımız hər addımda “düşmən görür” prinsipi ilə hərəkət etməli, mənfur düşmənləri özümüzə güldürməməli, hər bir sözümüzün və əməlimizin məsuliyyətini daşımalıyıq.",1
"Men Ele bilirəm ki Ölkədə Əsgər çatışmayan da Səfərbərlik edilir. 
Demek Çox ciddi Döyüş gedecek. Bakı Xəbərsizdir",1
Şəhid olmağımın vaxtı gəlib deyəsən!İnşəALLAH!,1
Elzanın şeirlərinə oxşadı,1
cox var. axtaran tapar,1
Məmur balaları xaricdə oqurladıqları pullara qaraul cəkir kasıb oqulları igidliklə vətəni qoruyur.,1
O da mənim kimi Seyyid nəslinnəndi...Dediyimiz sözlər isə dədələr nənələr sözləridir....Şifahi ədəbiyyat-ədəbi yat əbədi yat....,1
"bizdə ""el"" (oba, yurd, vətən) və ""əl"" (bədənin bir hissəsi) sözləri var. ""ellər"" türkiyə türkcəsində ""iller"" deməkdir.",1
" turkler de ""el"" sozunu bizim kimi isledir. meselen bana el oldun-mene yad oldun ve s.",1
"Yaddan çıxartmaki,Rusiyadada çoxlu Azərbaycanlı yaşayır.",1
sındırmaq= kırmak,1
Beli duzdu Amma sehid vermeyek yazigdi Analarimiz😔 Amin🤲,1
"KİM BİLİR..
MENİM 20 YASİM VAR AMMA ESGERLİKDE OLMAMİSAM(MALİCE ALMİSAM)
MENİDE APARACAQLAR?",1
Çağırsa ellər gedərəm davaya...,1
generalımız özü kimi kasıbların generalı idi. Ona görə də onu aradan götürdülər,1
Məmurların arvadları ancaq qız doğur,1
Bu 30ilde az sahid vermisik? Muharibe etmis olsaydilar bu gader sehid olmaz hec. Goymayin satginlar Azerbaycani darma dagin etsinler. Ermaniler bizim milleti goyun hesab edirler yeni sizin torpaglari ala ala gedirik hec ne ede bilmirsiz . Amma tassufler ki eledi alirlar. Onlar bizden gorxmurlar cunki bilirlerki icimizde satgin yaltag coxdu. Onlar Turkden gorxur cunki turk marddir. Canlarina valvele dusub.,1
mənim on beş yaşım var.yalnız belə mahnılar dinləyirəm.,1
"Onun bir əməli olur: Vətən, torpaq uğrunda düşmənləri məhv etmək və son damla qanına qədər döyüşmək. Bu gün də ordumuzun üzərinə düşən işin öhdəsindən uğurla gəldiyi göz qabağındadı.",1
Amina salam,1
